path,caption
./videos/1.mov, batsman fails to hit the ball
./videos/2.mov, batsman fails to run due to lack of ball control
./videos/3.mov, batsman hits the ball
./videos/4.mov, Some guy bowling the ball
./videos/5.mov, The ball hits the wicket
./videos/6.mov, The batsman hits 6
./videos/7.mov, The batsman hits the ball and catcher fails to recieve it
./videos/8.mov, They catch the ball before it gets too far
./videos/9.mov, Wicket is hit by ball
./videos/10.mov, Wicket keeper keep watching the whole time
